Room Type,Date,Rate,Reason,Demand Tier,Rate Multiplier,Source Status,Review / Reprice Date,Source Version
double,2027-09-20,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
twin,2027-09-20,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
double,2027-09-21,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
twin,2027-09-21,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
double,2027-09-22,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-03-20,1.0.0
twin,2027-09-22,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-03-20,1.0.0
double,2027-09-23,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-03-20,1.0.0
twin,2027-09-23,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-03-20,1.0.0
double,2027-09-24,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-03-20,1.0.0
twin,2027-09-24,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-03-20,1.0.0
double,2027-09-25,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-03-20,1.0.0
twin,2027-09-25,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-03-20,1.0.0
double,2027-09-26,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-03-20,1.0.0
twin,2027-09-26,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-03-20,1.0.0
double,2027-09-27,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
twin,2027-09-27,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
double,2027-09-28,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
twin,2027-09-28,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
double,2027-09-29,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
twin,2027-09-29,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
double,2027-09-30,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
twin,2027-09-30,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-03-20,1.0.0
double,2027-10-13,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-08-29,1.0.0
twin,2027-10-13,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-08-29,1.0.0
double,2027-10-15,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-15,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-17,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-17,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-18,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-18,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-19,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-19,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-20,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-20,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-21,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-21,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-22,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-22,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-23,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-08-09,1.0.0
twin,2027-10-23,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-08-09,1.0.0
double,2027-10-24,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-08-09,1.0.0
twin,2027-10-24,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-08-09,1.0.0
double,2027-10-25,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-08-09,1.0.0
twin,2027-10-25,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-08-09,1.0.0
double,2027-10-26,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-26,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-27,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-27,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-28,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-28,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-29,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-29,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-10-31,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-10-31,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-01,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-01,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-02,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-02,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-03,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-03,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-04,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-04,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-05,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-05,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-06,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-06,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-07,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-07,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-08,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-08,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-09,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-09,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-10,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-10,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-11,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-11,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-12,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-12,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-13,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-13,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-14,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-30,1.0.0
twin,2027-11-14,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-30,1.0.0
double,2027-11-15,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-15,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-16,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-16,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-22,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-22,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-23,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-23,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-24,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-24,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-25,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-25,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-26,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-26,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-27,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-27,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-28,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-28,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-29,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-29,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-11-30,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-11-30,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-12-01,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-12-01,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-12-02,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-12-02,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-12-03,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-12-03,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-12-04,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-05,1.0.0
twin,2027-12-04,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-05,1.0.0
double,2027-12-05,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-05,1.0.0
twin,2027-12-05,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-05,1.0.0
double,2027-12-06,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-05,1.0.0
twin,2027-12-06,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-05,1.0.0
double,2027-12-07,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-12-07,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-12-08,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-12-08,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-12-09,765,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
twin,2027-12-09,675,Demand Calendar low (PROJECTED),low,0.9,PROJECTED,2027-10-08,1.0.0
double,2027-12-10,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-26,1.0.0
twin,2027-12-10,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-26,1.0.0
double,2027-12-11,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-09-26,1.0.0
twin,2027-12-11,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-09-26,1.0.0
double,2027-12-12,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-26,1.0.0
twin,2027-12-12,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-09-26,1.0.0
double,2027-12-24,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-10-10,1.0.0
twin,2027-12-24,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-10-10,1.0.0
double,2027-12-25,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-10-10,1.0.0
twin,2027-12-25,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-10-10,1.0.0
double,2027-12-26,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-10-10,1.0.0
twin,2027-12-26,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-10-10,1.0.0
double,2027-12-29,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-08-01,1.0.0
twin,2027-12-29,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-08-01,1.0.0
double,2027-12-30,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-08-01,1.0.0
twin,2027-12-30,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-08-01,1.0.0
double,2027-12-31,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-08-01,1.0.0
twin,2027-12-31,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2027-08-01,1.0.0
